country;Code_postal;Nom_de_la_commune;country
FR;2680;CONTESCOURT;FR
FR;2820;CORBENY;FR
FR;2600;CORCY;FR
FR;2380;COUCY LE CHATEAU AUFFRIQUE;FR
FR;2840;COUCY LES EPPES;FR
FR;2380;COUCY LA VILLE;FR
FR;2130;COULONGES COHAN;FR
FR;2310;COUPRU;FR
FR;2800;COURBES;FR
FR;2330;COURBOIN;FR
FR;2220;COURCELLES SUR VESLE;FR
FR;2810;COURCHAMPS;FR
FR;2200;COURMELLES;FR
FR;2130;COURMONT;FR
FR;2850;COURTEMONT VARENNES;FR
FR;2820;COURTRIZY ET FUSSIGNY;FR
FR;2220;COUVRELLES;FR
FR;2270;COUVRON ET AUMENCOURT;FR
FR;2600;COYOLLES;FR
FR;2130;CRAMAILLE;FR
FR;2160;CRAONNE;FR
FR;2160;CRAONNELLE;FR
FR;2380;CRECY AU MONT;FR
FR;2270;CRECY SUR SERRE;FR
FR;2870;CREPY;FR
FR;2650;CREZANCY;FR
FR;2110;CROIX FONSOMME;FR
FR;2210;LA CROIX SUR OURCQ;FR
FR;2310;CROUTTES SUR MARNE;FR
FR;2880;CROUY;FR
FR;2120;CRUPILLY;FR
FR;2880;CUFFIES;FR
FR;2480;CUGNY;FR
FR;2350;CUIRIEUX;FR
FR;2220;CUIRY HOUSSE;FR
FR;2160;CUIRY LES CHAUDARDES;FR
FR;2360;CUIRY LES IVIERS;FR
FR;2160;CUISSY ET GENY;FR
FR;2200;CUISY EN ALMONT;FR
FR;2600;CUTRY;FR
FR;2220;CYS LA COMMUNE;FR
FR;2140;DAGNY LAMBERCY;FR
FR;2680;DALLON;FR
FR;2470;DAMMARD;FR
FR;2600;DAMPLEUX;FR
FR;2800;DANIZY;FR
FR;2270;DERCY;FR
FR;2700;DEUILLET;FR
FR;2220;DHUIZEL;FR
FR;2340;DIZY LE GROS;FR
FR;2360;DOHIS;FR
FR;2360;DOLIGNON;FR
FR;2600;DOMMIERS;FR
FR;2310;DOMPTIN;FR
FR;2450;DORENGT;FR
FR;2590;DOUCHY;FR
FR;2130;DRAVEGNY;FR
FR;2210;DROIZY;FR
FR;2480;DURY;FR
FR;2350;EBOULEAU;FR
FR;2500;EFFRY;FR
FR;2260;ENGLANCOURT;FR
FR;2290;EPAGNY;FR
FR;2500;EPARCY;FR
FR;2400;EPAUX BEZU;FR
FR;2400;EPIEDS;FR
FR;2540;L EPINE AUX BOIS;FR
FR;2840;EPPES;FR
FR;2250;ERLON;FR
FR;2260;ERLOY;FR
FR;2170;ESQUEHERIES;FR
FR;2690;ESSIGNY LE GRAND;FR
FR;2100;ESSIGNY LE PETIT;FR
FR;2570;ESSISES;FR
FR;2400;ESSOMES SUR MARNE;FR
FR;2420;ESTREES;FR
FR;2400;ETAMPES SUR MARNE;FR
FR;2110;ETAVES ET BOCQUIAUX;FR
FR;2000;ETOUVELLES;FR
FR;2580;ETREAUPONT;FR
FR;2590;ETREILLERS;FR
FR;2400;ETREPILLY;FR
FR;2510;ETREUX;FR
FR;2190;EVERGNICOURT;FR
FR;2320;FAUCOUCOURT;FR
FR;2600;FAVEROLLES;FR
FR;2100;FAYET;FR
FR;2800;LA FERE;FR
FR;2130;FERE EN TARDENOIS;FR
FR;2270;LA FERTE CHEVRESIS;FR
FR;2460;LA FERTE MILON;FR
FR;2450;FESMY LE SART;FR
FR;2840;FESTIEUX;FR
FR;2110;FIEULAINE;FR
FR;2000;FILAIN;FR
